slug,name
achiupr01,precious achiuwa
adebaba01,bam adebayo
agbajoc01,ochai agbaji
aldamsa01,santi aldama
alexani01,nickeil alexander-walker
allengr01,grayson allen
allenja01,jarrett allen
alvarjo01,jose alvarado
anderky01,kyle anderson
antetgi01,giannis antetokounmpo
antetth01,thanasis antetokounmpo
anthoco01,cole anthony
anunoog01,og anunoby
arcidry01,ryan arcidiacono
avdijde01,deni avdija
aytonde01,deandre ayton
azubuud01,udoka azubuike
badjiib01,ibou badji
baglema01,marvin bagley
baileam01,amari bailey
baldwpa01,patrick baldwin
ballla01,lamelo ball
bambamo01,mo bamba
banchpa01,paolo banchero
banede01,desmond bane
bantoda01,dalano banton
barlodo01,dominick barlow
barneha02,harrison barnes
barnesc01,scottie barnes
barrerj01,rj barrett
bassech01,charles bassey
batesem01,emoni bates
bateske01,keita bates-diop
batumni01,nicolas batum
bazleda01,darius bazley
bealbr01,bradley beal
beaslma01,malik beasley
beaucma01,marjon beauchamp
bernaju01,jules bernard
bertada01,davis bertans
beverpa01,patrick beverley
beysa01,saddiq bey
bitadgo01,goga bitadze
bitimon01,onuralp bitim
biyombi01,bismack biyombo
blackan01,anthony black
blackle01,leaky black
boehebu01,buddy boeheim
bogdabo01,bogdan bogdanovic
bogdabo02,bojan bogdanovic
bolbo01,bol bol
boldema01,marques bolden
bookede01,devin booker
bostobr01,brandon boston
bouchch01,chris boucher
bouknja01,james bouknight
bouyeja01,jamaree bouyea
branhma01,malaki branham
braunch01,christian braun
bridgmi01,mikal bridges
bridgmi02,miles bridges
brissos01,oshae brissett
brockiz01,izaiah brockington
brogdma01,malcolm brogdon
brookar01,armoni brooks
brookdi01,dillon brooks
brownbr01,bruce brown
brownch02,charlie brown
browngr01,greg brown
brownja02,jaylen brown
brownke03,kendall brown
brownko01,kobe brown
brownmo01,moses brown
browntr01,troy brown
brunsja01,jalen brunson
bryanth01,thomas bryant
bufkiko01,kobe bufkin
bullore01,reggie bullock
burksal01,alec burks
butleja02,jared butler
butleji01,jimmy butler
cainja01,jamal cain
caldwke01,kentavious caldwell-pope
camarto01,toumani camara
capelca01,clint capela
carteje01,jevon carter
cartewe01,wendell carter
cartodj01,d.j. carton
carusal01,alex caruso
castlco01,colin castleton
cazalma01,malcolm cazalon
champju02,julian champagnie
champju01,justin champagnie
chrisma02,max christie
